runId,numRobots,phase,effectiveMode,modeName,makespan,totalDeliveries,avgTaskSec,minTaskSec,maxTaskSec,avgToPickupSec,avgDeliveryLegSec,avgReturnSec,numOrders,crowdednessLevel,randomSeed
20260514_145219,4,0,0,SSP,180.00,20,32.15,10.71,63.52,15.29,16.86,0.00,20,3,1297
20260514_145219,4,1,1,EV,151.50,20,28.81,12.62,58.00,12.76,16.05,0.00,20,3,1297
20260514_145219,4,2,2,EA,142.50,20,26.93,8.75,45.89,11.95,14.97,0.00,20,3,1297
20260514_145219,5,0,0,SSP,168.00,20,33.12,11.95,66.20,16.35,16.77,0.00,20,3,1297
20260514_145219,5,1,1,EV,152.50,20,32.74,12.19,59.50,16.87,15.87,0.00,20,3,1297
20260514_145219,5,2,2,EA,132.50,20,28.39,12.54,47.40,13.25,15.15,0.00,20,3,1297
20260514_145219,6,0,0,SSP,126.50,20,33.84,11.23,61.24,17.48,16.37,0.00,20,3,1297
20260514_145219,6,1,1,EV,121.50,20,30.81,9.98,55.14,15.45,15.36,0.00,20,3,1297
20260514_145219,6,2,2,EA,122.00,20,28.46,11.85,62.95,12.65,15.81,0.00,20,3,1297
20260514_145219,7,0,0,SSP,136.00,20,33.91,11.16,69.00,18.26,15.65,0.00,20,3,1297
20260514_145219,7,1,1,EV,101.00,20,29.98,8.48,51.40,14.99,14.99,0.00,20,3,1297
20260514_145219,7,2,2,EA,104.00,20,28.02,3.99,51.75,11.58,16.44,0.00,20,3,1297
20260514_145219,8,0,0,SSP,101.00,20,33.02,10.69,67.59,16.77,16.25,0.00,20,3,1297
20260514_145219,8,1,1,EV,112.50,20,33.00,10.17,58.70,17.34,15.66,0.00,20,3,1297
20260514_145219,8,2,2,EA,93.50,20,29.64,7.52,55.61,14.92,14.72,0.00,20,3,1297
20260514_145219,9,0,0,SSP,115.00,20,33.36,11.71,68.56,17.07,16.29,0.00,20,3,1297
20260514_145219,9,1,1,EV,102.50,20,30.46,10.58,55.03,15.11,15.35,0.00,20,3,1297
20260514_145219,9,2,2,EA,88.00,20,30.12,7.52,66.34,15.45,14.67,0.00,20,3,1297
20260514_145219,10,0,0,SSP,103.00,20,33.35,7.62,70.12,16.28,17.08,0.00,20,3,1297
20260514_145219,10,1,1,EV,84.00,20,29.99,8.04,51.85,15.07,14.92,0.00,20,3,1297
20260514_145219,10,2,2,EA,108.00,20,29.78,12.06,79.13,14.70,15.08,0.00,20,3,1297
20260514_145219,1,0,0,SSP,718.50,20,35.92,15.70,69.41,16.44,19.48,0.00,20,4,1297
20260514_145219,1,1,1,EV,720.50,20,36.01,13.58,57.68,16.75,19.27,0.00,20,4,1297
20260514_145219,1,2,2,EA,710.00,20,35.48,11.40,66.84,17.35,18.13,0.00,20,4,1297
20260514_145219,2,0,0,SSP,374.50,20,36.74,21.28,82.21,17.58,19.16,0.00,20,4,1297
20260514_145219,2,1,1,EV,397.00,20,37.20,22.19,71.15,17.99,19.21,0.00,20,4,1297
20260514_145219,2,2,2,EA,391.50,20,36.41,11.40,74.13,17.14,19.27,0.00,20,4,1297
20260514_145219,3,0,0,SSP,254.50,20,35.52,13.11,72.25,16.80,18.72,0.00,20,4,1297
20260514_145219,3,1,1,EV,265.00,20,35.92,13.19,66.88,17.27,18.65,0.00,20,4,1297
20260514_145219,3,2,2,EA,270.00,20,34.51,10.53,90.86,15.87,18.64,0.00,20,4,1297
20260514_145219,4,0,0,SSP,234.50,20,40.09,14.46,68.14,19.11,20.98,0.00,20,4,1297
